Manufacturer,Model,PR,Top Speed,Acceleration,Braking,Grip,Class,Type,Series,Price,Service Time,Service Cost,Is Available,Has Exclusive Events,In Main Career,In Season 1,In Season 2,In Season 3
Acura,NSX (2017),46.7,306,3.10,31.7,1.09,S,M4,2,450 Gold,180,1665,Yes,No,No,Yes,Yes,No
Acura,NSX Type S,48.9,307,2.90,32.0,1.10,S,M4,1,600 Gold,180,1812,Yes,No,No,No,No,Yes
Acura,NSX GT3,65.2,274,3.02,29.6,1.65,R,MR,2,750 Gold,180,1990,Yes,No,No,No,No,No
Acura,ARX-05,78.5,322,2.80,25.6,1.76,R,MR,1,850 Gold,180,1997,Yes,No,No,No,No,No
Acura,ARX-06,84.5,335,2.60,23.2,1.78,R,MR,2,2650000 M$,180,0,Yes,No,No,No,No,Yes
Alfa Romeo,Giulietta TCR,34.5,241,5.30,29.3,1.30,R,FF,1,180 Gold,180,1332,Yes,No,No,No,No,No
Alfa Romeo,4C,29.4,257,4.34,30.2,1.05,P,MR,1,200 Gold,180,1415,Yes,No,No,Yes,Yes,No
Alfa Romeo,155 V6 TI,38.0,274,4.60,29.0,1.35,R,F4,2,300 Gold,180,1665,Yes,Yes,No,Yes,No,No
Apollo,Intensa Emozione,84.0,335,2.65,26.2,2.00,S,MR,3,1100 Gold,180,2062,Yes,Yes,No,Yes,No,Yes
Ariel,Atom 3.5,44.5,249,2.70,30.5,1.00,S,RR,2,255000 R$,140,1170,Yes,No,Yes,No,No,No
Ariel,Atom V8,61.1,322,2.30,30.5,1.20,S,RR,3,150 Gold,180,1402,Yes,Yes,Yes,No,No,No
Aston Martin,DB9,28.2,295,4.50,32.0,1.00,P,FR,5,230000 R$,130,1132,Yes,No,Yes,No,Yes,No
Aston Martin,Vanquish,33.6,295,4.10,31.4,1.02,P,FR,4,110 Gold,150,1230,Yes,No,Yes,No,Yes,No
Aston Martin,V12 Vantage S,43.8,330,3.70,30.5,1.10,P,FR,3,425000 R$,170,1355,Yes,Yes,Yes,No,No,No
Aston Martin,Vantage AMR Pro,51.3,303,3.60,28.0,1.30,R,FR,2,550 Gold,180,1415,Yes,Yes,No,No,No,Yes
Aston Martin,Vantage 59,40.5,314,4.00,30.5,1.07,P,FR,3,400 Gold,180,1415,Yes,No,No,Yes,No,No
Aston Martin,Vantage N430,40.2,314,4.10,30.2,1.15,P,FR,2,240 Gold,180,1415,Yes,No,No,No,No,No
